SUBINDICE,INDICADOR,DESCRIPCION,NOTAS,CATEGORIAS
Gobierno,Ingresos Totales Per Cápita,Ingresos totales del municipio entre el total de la población. Indicador incluido en el índice de competitividad 2012 del Centro de Investigación y Docencia Económicas (CIDE).,"El ingreso per cápita a nivel nacional es de:

- 2012 = $2,486.26 
- 2011 = $2,697.76 
- 2010 = $2,458.53 
- 2009 = $2,418.96 
- 2008 = $2,300.63 
- 2007 = $1,865.79 

Datos obtenidos de [INEGI. Estadística de finanzas públicas estatales y municipales](http://www.inegi.org.mx/sistemas/olap/Proyectos/bd/continuas/finanzaspublicas/FPMun.asp?s=est&c=11289&proy=efipem_fmun)",Finanzas Públicas
Gobierno,Litros de Combustible Gastados por Habitante,Determina la relación de litros de combustible gastados por el gobierno municipal respecto de su población total.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Recursos Naturales, Gobierno, Sector Automotriz"
Gobierno,Litros de Combustible Gastados por Unidad Recolectora de Residuos Sólidos Propiedad del Municipio,Determina la relación de litros de combustible gastados por unidad recolectora de residuos sólidos del municipio.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Recursos Naturales, Finanzas Públicas"
Gobierno,Muertes por Infecciones Instestinales,"Incluido en el subíndice de ""Gobiernos Eficientes y Eficaces"". Mide el número de muertes ocasionadas por infecciones intestinales por cada 100 mil habitantes. A falta de mediciones adecuadas de calidad del agua, este indicador capta los impactos de que una ciudad consuma agua relativamente sucia como resultado de un mal funcionamiento del organismo operador de agua local. El indicador asume una relación directa entre calidad del agua y enfermedades intestinales.",,"Índice de Competitividad Urbana, Salud"
Gobierno,Participación Ciudadana,"Porcentaje de la lista nominal de elecciones federales. Forma parte de subíndice de ""Sistema Político Estable y Funcional"". Mide la población que participó en las últimas elecciones federales.","Para los años 2008, 2009 y 2010 se consideraron los datos de las elecciones de 2009, mientras que para los años 2011 y 2012 se tomaron datos de las elecciones de 2012. Unidades: Porcentaje de la lista nominal. Fuente: Instituto Federal Electoral (IFE), 2009 y 2012.","Índice de Competitividad Urbana, Participación Ciudadana"
Gobierno,Participación Electoral,Porcentaje de personas que emitieron su voto.,,Participación Ciudadana
Gobierno,Periodistas Muertos o Desaparecidos,"Periodistas muertos o desaparecidos en los últimos 5 años. Forma parte de subíndice de ""Sistema Político Estable y Funcional"". Mide el número de periodistas muertos o desaparecidos en los últimos cinco años. Este indicador busca captar el grado de libertad de expresión que hay en una ciudad.","Unidades: Periodistas asesinados o desaparecidos. Fuente: Artículo 19, 2004-2012.","Índice de Competitividad Urbana, Gobierno, Delincuencia, Seguridad"
Gobierno,Policías Operativos de Seguridad Pública,Determina el número de policías operativos por cada mil habitantes.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno, Seguridad"
Gobierno,Promedio de Horas para la Realización del Trámite de Carta de No Adeudo Predial,Determina el número de horas requeridas para la realización del trámite de carta de No adeudo de predial.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno"
Gobierno,Relación de Ingresos Propios y Totales,Porcentaje de Ingresos propios el municipio con respecto a sus ingresos totales.,"El promedio de la relación entre ingresos propios y totales de los municipios es:

- 2012 = 20.91%
- 2011 = 18.92%
- 2010 = 19.84%
- 2009 = 19.23%
- 2008 = 20.49%
- 2007 = 22.78%

Datos obtenidos de [INEGI. Estadística de finanzas públicas estatales y municipales](http://www.inegi.org.mx/sistemas/olap/Proyectos/bd/continuas/finanzaspublicas/FPMun.asp?s=est&c=11289&proy=efipem_fmun)",Finanzas Públicas
Gobierno,Vehículos Automotores por Habitante,Determina el número de vehículos automotores por habitante.,Sistema de Indicadores de Desempeño (SINDES) con metodología de la Asociación de Administración de ciudades y condados (ICMA) http://www.icmaml.org/sindes/,"Sistema de Indicadores de Desempeño (SINDES), Gobierno"
Seguridad,Accidentes Viales,Cantidad de accidentes viales por año.,Consulta la [Base de Datos](http://www.inegi.org.mx/sistemas/olap/Proyectos/bd/continuas/transporte/accidentes.asp?s=est&c=13159&proy=atus_accidentes),"Vialidad, Movilidad, Seguridad, Sector Automotriz"
Seguridad,Accidentes Viales Fatales,Cantidad de accidentes viales fatales por año.,,"Vialidad, Movilidad, Seguridad"
Seguridad,Cantidad de Policías,Cantidad total de policías en el municipio.,"Fuente: [Portal de Transparencia](http://www.torreon.gob.mx/transparencia) - [Índice de Seguridad Pública](http://www.torreon.gob.mx/transparencia/info.cfm?e=53&t=19). Cuando el archivo **NO** tiene el dato ""Policía Preventiva / Estado de Fuerza / Elementos"" el dato es ""No disponible"".",Seguridad
Seguridad,Competencia de Servicios Notariales,"Incluido en el Subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide el número de notarios en cada ciudad. Unidades: Notarios por cada 100 mil personas económicamente activas (PEA).","Fuente: Secretaría de Gobernación (Directorio de Notarios), 2013.","Índice de Competitividad Urbana, Gobierno"
Seguridad,Delitos,Total de delitos cometidos.,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Delincuencia, Seguridad"
Seguridad,Delitos Patrimoniales,"Son delitos que contemplan Abuso de confianza, Daño en propiedad ajena, Extorsión, Fraude, Despojo con violencia y Despojo sin violencia.",Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Homicidios,Número de homicidios por mes,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Delincuencia, Seguridad"
Seguridad,Monto Reportado en Robo de Mercancías,"Pesos 2012 por cada millón de pesos de PIB. Forma parte de subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide el monto reportado en robo de transporte de mercancías.","Unidades: Pesos (de 2012) por cada millón de pesos del PIB de la ciudad. Fuente: Asociación Mexicana de Instituciones de Seguros (AMIS), 2008-2012.","Índice de Competitividad Urbana, Seguridad"
Seguridad,Percepción de Inseguridad,"Forma parte de subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide: El porcentaje de personas que se sienten inseguras dentro de su municipio. Ésta es una variable a nivel estatal debido a que la encuesta no es representativa a nivel ciudad.","Unidades: Porcentaje de la población total. Fuente: INEGI (Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública), 2011-2013.","Índice de Competitividad Urbana, Seguridad"
Seguridad,Personas Involucradas en Delitos del Fuero Común,,Fuente: [INEGI](http://www.inegi.org.mx/est/lista_cubos/consulta.aspx?p=gob&c=5),"Seguridad, Delincuencia"
Seguridad,Personas Involucradas en Delitos del Fuero Federal,,Fuente: [INEGI](http://www.inegi.org.mx/est/lista_cubos/consulta.aspx?p=gob&c=5),"Seguridad, Delincuencia"
Seguridad,Porcentaje de Accidentes Viales Fatales,Porcentaje de accidentes fatales entre accidentes viales totales,,"Vialidad, Movilidad, Seguridad, Salud"
Seguridad,Presuntos Delitos del Fuero Común,,Fuente: [INEGI](http://www.inegi.org.mx/est/lista_cubos/consulta.aspx?p=gob&c=5),"Seguridad, Delincuencia"
Seguridad,Presuntos Delitos del Fuero Federal,,Fuente: [INEGI](http://www.inegi.org.mx/est/lista_cubos/consulta.aspx?p=gob&c=5),"Seguridad, Delincuencia"
Seguridad,Robo a Negocios,Robos totales por mes,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Robo a Transeuntes,Robos a Transeuntes totales por mes.,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Robo de Vehículos,Robo de vehículos con violencia y sin violencia cometidos en el mes,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Robos a Casa Habitación,Robos totales por mes a casa habitación.,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Robos Totales,Cantidad total de robos en el mes.,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Secuestros,Cantidad de secuestros en el mes,Descarga la [Base de Datos](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Delincuencia, Seguridad"
Seguridad,Tasa de Homicidios,"Forma parte de subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide el número relativo de homicidios en cada ciudad. A través del Sistema Estatal y Municipal de Bases de Datos (SIMBAD) fue posible identificar el número de homicidios a nivel municipal. Unidades: Homicidios por cada 100 mil habitantes.
Las tasas de elaboración propia consideran las defunciones por homicidio ocurridas en el municipio de acuerdo a los registros administrativos de INEGI.","Fuente: Instituto Nacional de Estadística y Geografía (INEGI), 2008-2012.","Seguridad, Delincuencia, Índice de Competitividad Urbana"
Seguridad,Tasa de Robo de VehÍculos,"En el Índice de Competitividad Urbana pertenece al subíndice de ""Sistema de Derecho Confiable y Objetivo"". Mide el número relativo de robo de vehículos en cada ciudad. Sólo se cuenta con observaciones para 2011 y 2012. Unidades: Robo de autos por cada mil vehículos registrados.","Fuente: Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública (SESNSP) e INEGI, 2008-2012.","Delincuencia, Seguridad, Índice de Competitividad Urbana"
Seguridad,Tasa mensual estatal de Extorsión,,Fuente: [Secretariado Ejecutivo del Sistema Nacional de Seguridad](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Tasa mensual estatal de Homicidio Doloso,,Fuente: [Secretariado Ejecutivo del Sistema Nacional de Seguridad](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Tasa mensual estatal de Robo de Vehículo con Violencia,,Fuente: [Secretariado Ejecutivo del Sistema Nacional de Seguridad](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Tasa mensual estatal de Robo de Vehículo Sin Violencia,,Fuente: [Secretariado Ejecutivo del Sistema Nacional de Seguridad](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Seguridad,Tasa mensual estatal de Secuestro,,Fuente: [Secretariado Ejecutivo del Sistema Nacional de Seguridad](http://secretariadoejecutivo.gob.mx/incidencia-delictiva/incidencia-delictiva-fuero-comun.php),"Seguridad, Delincuencia"
Sociedad,Acceso a Instituciones de Salud,"incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el porcentaje de la población económicamente activa (PEA) que cuenta con atención médica, ya sea por parte de instituciones públicas o privadas, derivado de su trabajo actual.",Fuente: INEGI (Encuesta Nacional de Ocupación y Empleo –ENOE).,"Índice de Competitividad Urbana, Salud"
Sociedad,Acceso a Servicios Financieros,"Incluido en el subíndice ""Precursores"". Qué mide: El número de sucursales y corresponsales de banca múltiple en la ciudad por cada 10 mil adultos como proxy del acceso a servicios financieros.","Unidades: Sucursales/corresponsales por cada 10 mil adultos. Fuente: (CNBV), 2010-2012.","Índice de Competitividad Urbana, Empresas"
Sociedad,Adultos Mayores,Población estimada a mediados de año de personas de 65 años y más,,Grupos Vulnerables
Sociedad,Adultos Mayores Femenino,Población estimada a mediados de año de personas de 65 años y más de sexo femenino.,,"Grupos Vulnerables, Género"
Sociedad,Adultos Mayores Masculino,Población estimada a mediados de año de personas de 65 años y más de sexo masculino,,Grupos Vulnerables
Sociedad,Alumnos con Habilidades Científicas-Matemáticas Avanzadas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel IV según resultados de la prueba PLANEA de la SEP.,"Nivel IV: Resuelven problemas aditivos con números naturales, decimales y fraccionarios. Resuelven problemas de aplicación de áreas. Resuelven problemas que implican calcular promedios y medianas, y comparar razones. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).",Educación
Sociedad,Alumnos con Habilidades Científicas-Matemáticas Básicas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel II según resultados de la prueba PLANEA de la SEP.,Nivel II: Resuelven problemas aritméticos con números naturales. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).,Educación
Sociedad,Alumnos con Habilidades Científicas-Matemáticas Iniciales,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel I según resultados de la prueba PLANEA de la SEP.,"Nivel I: Escriben y comparan números naturales. Sin embargo, no resuelven problemas aritméticos con números naturales.
Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).",Educación
Sociedad,Alumnos con Habilidades Científicas-Matemáticas Prácticas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel III según resultados de la prueba PLANEA de la SEP.,Resuelven problemas aritméticos con números naturales o decimales. Resuelven problemas de aplicación de perímetros. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).,Educación
Sociedad,Alumnos con Habilidades Gramáticas-Lingüísticas Avanzadas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel IV según resultados de la prueba PLANEA de la SEP.,Nivel IV: Comprenden textos argumentativos como artículos de opinión. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).,Educación
Sociedad,Alumnos con Habilidades Gramáticas-Lingüísticas Básicas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel II según resultados de la prueba PLANEA de la SEP.,Nivel II: Comprenden la información contenida en textos expositivos y literarios. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).,Educación
Sociedad,Alumnos con Habilidades Gramáticas-Lingüísticas Iniciales,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel I según resultados de la prueba PLANEA de la SEP.,Nivel I: Seleccionan información sencilla que se encuentra explícitamente en textos descriptivos. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).,Educación
Sociedad,Alumnos con Habilidades Gramáticas-Lingüísticas Prácticas,Porcentaje de Alumnos de 6to de primaria ubicados en Nivel III según resultados de la prueba PLANEA de la SEP.,"Nivel III: Realizan inferencias, como interpretar el sentido de una metáfora en una fábula. Lea el análisis [Competencias en Lenguaje y Matemáticas en los Estudiantes de la Comarca](http://www.trcimplan.gob.mx/blog/competencias-en-lenguaje-y-matematicas-en-los-estudiantes-de-la-comarca-parte-1.html). Consulta la [Base de Datos](http://planea.sep.gob.mx/ba/base_de_datos_2015/).",Educación
Sociedad,Alumnos con Perfil Científico-Matemático,Porcentaje de alumnos buenos y excelentes en Prueba Enlace nivel básico.,"El criterio de ""Alumnos buenos y excelentes"" provienen de [mejoratuescuela.org](http://www.mejoratuescuela.org)
Consulta la [Base de datos](http://www.enlace.sep.gob.mx/content/ba/pages/base_de_datos_completa_2013/)",Educación
Sociedad,Alumnos con Perfil Gramático-Español,Alumnos buenos y excelentes en Prueba Enlace nivel básico.,"El criterio de ""Alumnos buenos y excelentes"" provienen de [mejoratuescuela.org](http://www.mejoratuescuela.org)
Consulta la [Base de datos](http://www.enlace.sep.gob.mx/content/ba/pages/base_de_datos_completa_2013/)",Educación
Sociedad,Alumnos de Preescolar por Docente,"Número de alumnos (estudiantes) promedio por docente a nivel de educación preescolar y en un año escolar dado, basado en el número bruto de estudiantes y de docentes. Incluye escuelas públicas y privadas, así como de localidades urbanas y rurales.",Consulta la [Base de Datos](http://planeacion.sep.gob.mx/principalescifras/),Educación
Sociedad,Alumnos de Primaria por Docente,"Número de alumnos (estudiantes) promedio por docente de nivel de educación primaria, basado en el número bruto de estudiantes y de docentes durante el ciclo escolar dado. Incluye las escuelas públicas y privadas, así como de localidades urbanas y rurales.",Consulta la [Base de Datos](http://planeacion.sep.gob.mx/principalescifras/),"Educación, Sector Automotriz"
Sociedad,Alumnos de Secundaria por Docente,"Número de alumnos (estudiantes) promedio por docente a nivel de educación secundaria y en un año escolar dado, basado en el número bruto de estudiantes y de docentes. Incluye las escuelas públicas y privadas, así como de localidades urbanas y rurales.",Consulta la [Base de Datos](http://planeacion.sep.gob.mx/principalescifras/),"Educación, Sector Automotriz"
Sociedad,Camas Censables,,"1. Hasta los datos de 2012 la Dirección General de Información de Salud (DGIS) considera únicamente al Hospital General de Torreón y el Hospital Integral de Matamoros, Hospital General de Lerdo y el Hospital General de Gómez Palacio. Para 2013 y 2014 se agregan las cifras de las unidades pertenecientes al IMSS, SEDENA, SSA, ISSSTE y Universitarios.
2. Los datos de años anteriores a 2013 irán aumentando debido a la carga de la información concerniente al punto anterior.","Salud, Sector Automotriz"
Sociedad,Camas de Hospital,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de camas censables relativo a la población. Este indicador es un proxy de la infraestructura médica con la que cuenta el sector público de salud.",Fuente: SINAIS.,"Índice de Competitividad Urbana, Salud"
Sociedad,Crecimiento en Acceso a Servicios de Salud,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide la tasa de cambio entre 2008 y 2012 de la PEA que tiene acceso a instituciones de salud.",Fuente: INEGI (ENOE).,"Índice de Competitividad Urbana, Salud, Bienestar"
Sociedad,Crecimiento en Población Altamente Calificada,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide la tasa de cambio entre 2008 y 2012 de la PEA que cuenta con estudios de licenciatura o más.",Fuente: INEGI (ENOE).,"Índice de Competitividad Urbana, Educación"
Sociedad,Desigualdad en las Ciudades,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Este indicador es un coeficiente de Gini salarial para cuantificar la desigualdad en los salarios de una población. El coeficiente adopta valores entre 0 y 1, donde 0 representa una distribución completamente igual (todos tienen los mismos ingresos) y 1 una distribución completamente desigual (1 persona tiene todos los ingresos y los demás ninguno).",Fuente: Estimaciones de IMCO con datos de INEGI (ENOE).,"Índice de Competitividad Urbana, Bienestar"
Sociedad,Diferencial de Grado Promedio de Escolaridad por Género,Grado promedio de escolaridad (GPE) de las mujeres menos GPE de hombres.,Años de escolaridad.,"Género, Educación, Objetivos del Milenio"
Sociedad,Discapacidad,"Porcentaje de la población total con alguna limitación (motriz, visión, auditivo, habla y/o cognitivas)",Consulta o descarga la [Base de Datos](http://www.inegi.org.mx/sistemas/consulta_resultados/iter2010.aspx?c=27329&s=est),"Grupos Vulnerables, Sector Automotriz"
Sociedad,Empresas Socialmente Responsables,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de empresas certificadas como Empresa Socialmente Responsable. Únicamente se consideró la ubicación geográfica de la matriz de la empresa.",Fuente: Centro Mexicano para la Filantropía (CEMEFI).,"Índice de Competitividad Urbana, Empresas"
Sociedad,Escuelas con grado de marginación bajo,Cantidad de escuelas con grado de marginación bajo.,"Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Escuelas con grado de marginación medio,Cantidad de escuelas con grado de marginación medio.,"Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Escuelas con grado de marginación muy bajo,Cantidad de escuelas con un grado de marginación muy bajo.,"Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Escuelas de Calidad,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el porcentaje de escuelas con calificación excelente dentro del municipio. Se calificó con 0 a aquellas ciudades en donde menos de 80% de los alumnos presentaron la prueba.",Fuente: Mejora tu Escuela con datos de la SEP.,"Índice de Competitividad Urbana, Educación"
Sociedad,Espacios Culturales,Espacios culturales físicamente delimitados.,"Se realizó un filtrado básico de la totalidad de los espacios culturales considerados por CONACULTA, ya que ellos consideran programas, fondos y proyectos a sus estadísticas totales, así como eventos que fueron realizados en una ocasión y datan de hace más de 5 años. Consulta la [Base de Datos completa](http://www.sic.gob.mx)","Educación, Cultura"
Sociedad,Espacios Culturales (según IMCO),"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"" Mide el número de espacios culturales relativo a la población. Se consideran espacios culturales museos, teatros, galerías, auditorios, bibliotecas, librerías y casas de artesanías.","Fuente: Consejo Nacional para la Cultura y las Artes (CONACULTA). Se cuenta con un indicador con el mismo nombre en el SMI y se diferencia del aportado por IMCO debido a que se realizó un filtrado básico de la totalidad de los espacios culturales considerados por CONACULTA, ya que ellos consideran programas, fondos y proyectos a sus estadísticas totales, así como eventos que fueron realizados en una ocasión y datan de hace más de 5 años. Por lo que este indicador aparece únicamente en la categoria ""Índice de Competitividad Urbana"" Consulta la [Base de Datos completa](http://www.sic.gob.mx)","Índice de Competitividad Urbana, Cultura"
Sociedad,Estimación de Menores Huérfanos por Agresiones,Menores de edad que han perdido a padre o madre a causa de agresión (homicidio).,Elaboración propia en base a las defunciones registradas en [SINAIS](http://www.sinais.salud.gob.mx),"Grupos Vulnerables, Delincuencia"
Sociedad,Fecundidad,Tasa de fecundidad.,El dato de 2015 corresponde a la Encuesta Intercensal 2015 de INEGI y son estimaciones.,"Género, Población"
Sociedad,Grado Promedio de Escolaridad,Un grado se considera un año de acuerdo al sistema educativo nacional.,,"Educación, Sector Automotriz"
Sociedad,Hogares con Jefatura Femenina,Porcentaje de hogares con jefatura femenina.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/),"Género, Sector Automotriz"
Sociedad,Índice de Desarrollo Humano (IDH),"El Índice de Desarrollo Humano (IDH) desarrollado por el Programa de Naciones Unidas para el Desarrollo, abarca tres temas fundamentales: salud, educación e ingreso. Su metodología original aplicada a países se compone de: esperanza de vida al nacer, tasa de matriculación escolar, tasa de alfabetización y PIB per cápita anual en dólares.","Para calcular el IDH a nivel municipal (IDHM) en México, se han llevado a cabo algunos ajustes debido a las restricciones en la disponibilidad de información, a nivel municipal, de los indicadores establecidos en su definición original, por lo cual se compone de: sobrevivencia infantil, tasa de asistencia escolar, tasa de alfabetización e Ingreso promedio per cápita anual en dólares. La metodología completa se puede consultar en [PNUD](http://www.undp.org.mx/desarrollohumano/disco/index.html).","Bienestar, Sector Automotriz"
Sociedad,Índice de Hacinamiento,Resultado de dividir el número de personas que residen en viviendas particulares habitadas entre el número de cuartos de esas viviendas.,"Utilizado internacionalmente como Índice de Hacinamiento equivale al indicador ""Promedio de ocupantes por cuarto en viviendas particulares habitadas"" de los Censos y Conteos de Población y Vivienda de INEGI.","Bienestar, Vivienda"
Sociedad,Índice de Marginación,"Indicador compuesto por los siguientes datos: 
Porcentaje de población de 15 años o más analfabeta 
Porcentaje de población de 15 años o más sin primaria completa 
Porcentaje de ocupantes en viviendas sin drenaje ni excusado
Porcentaje de ocupantes en viviendas sin energía eléctrica
Porcentaje de ocupantes en viviendas sin agua entubada
Porcentaje de viviendas con algún nivel de hacinamiento
Porcentaje de ocupantes en viviendas con piso de tierra
Porcentaje de población en localidades con menos de 5 000 habitantes
Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos",Menos es menor grado de marginación,"Bienestar, Grupos Vulnerables, Sector Automotriz"
Sociedad,Ingreso Promedio de la Mujer,"Incluido en el subíndice de ""Sociedad Preparada, Incluyente y Sana"". Qué mide: El ingreso promedio de las mujeres como proporción del ingreso promedio de los hombres. Entre más se acerca esta relación a 1, más parecidos son los salarios.",Unidades: 1 es la igualdad entre salario de hombre y mujer. Fuente: INEGI (ENOE).,"Índice de Competitividad Urbana, Género, Empleo"
Sociedad,Madres Adolescentes,Total de partos registrados (nacidos vivos) de mujeres entre 10 y 18 años de edad,Fuente: Dirección General de Información de Salud (DGIS). [en linea]: Sistema Nacional de Información en Salud (SINAIS). [México]: Secretaria de Salud. [SINAIS](http://www.sinais.salud.gob.mx),"Grupos Vulnerables, Género"
Sociedad,Maternidad Adolescente,Porcentaje de nacimientos registrados cuyas madres son menores de 17 años.,Enlace al [Sistema de Información Geográfica](http://201.159.104.45:8080/apps/implan2.html),Género
Sociedad,Médicos,Médicos en contacto con pacientes por cada diez mil personas.,"Dirección General de Información en Salud (DGIS). Base de datos de recursos (infraestructura, materiales y humanos) de la Secretaría de Salud y los Servicios Estatales de Salud 2001-2013: [Sistema Nacional de Información en Salud](http://www.sinais.salud.gob.mx) (SINAIS). México: Secretaría de Salud. Consulta: 23 Octubre 2014.","Salud, Índice de Competitividad Urbana"
Sociedad,Mortalidad,Tasa de Mortalidad. Número de muertes por cada mil habitantes.,Fuente: Dirección General de Información en Salud (DGIS). Base de datos de defunciones generales 1979-2013. Base de Datos Defunciones Cifras Oficiales Preliminares-SEED [en línea]: Sistema Nacional de Información en Salud (SINAIS). [México]: Secretaría de Salud. <www.dgis.salud.gob.mx> [Consulta: 29 Junio 2015]. Con estimaciones de población de CONAPO.,Salud
Sociedad,Mortalidad Infantil,"Tasa de mortalidad infantil. Defunciones de menores de un año por cada mil nacidos vivos. Se incluye en el subíndice ""Sociedad Preparada, Incluyente y Sana"" de IMCO.",Los datos pueden modificarse debido al manejo de los registros administrativos por parte de la Secretaria de Salud.,"Salud, Objetivos del Milenio, Índice de Competitividad Urbana, Sector Automotriz"
Sociedad,Mortalidad por Diabetes,"Tasa de mortalidad por diabetes mellitus. Defunciones por diabetes por cada diez mil defunciones.
Se incluye en el subíndice ""Sociedad Incluyente, Preparada y Sana"" de IMCO.",Los datos pueden modificarse debido al manejo de los registros administrativos por parte de la Secretaria de Salud.,"Salud, Índice de Competitividad Urbana, Sector Automotriz"
